,Unnamed: 0,created_at,temp,hum,p25,p10
248845,249126,2019-12-27 20:25:01,24.6,81.8,164.39999,226.60001
248846,249127,2019-12-27 20:25:05,24.6,81.9,165.39999,228.0
248847,249128,2019-12-27 20:25:09,24.5,81.8,166.2,228.60001
248848,249129,2019-12-27 20:25:13,24.6,81.9,165.8,228.39999
248849,249130,2019-12-27 20:25:17,24.6,81.9,164.8,228.60001
248853,249134,2019-12-27 20:25:34,24.6,81.9,163.60001,227.2
248856,249137,2019-12-27 20:25:46,24.5,81.8,164.3,225.0
248858,249139,2019-12-27 20:25:55,24.5,81.9,164.89999,228.89999
248859,249140,2019-12-27 20:25:59,24.5,81.9,163.89999,224.3
248860,249141,2019-12-27 20:26:03,24.5,82.0,163.5,223.3
248861,249142,2019-12-27 20:26:07,24.5,82.0,163.7,222.8
248862,249143,2019-12-27 20:26:12,24.5,82.1,162.8,222.7
248863,249144,2019-12-27 20:26:16,24.5,82.1,163.3,223.5
248864,249145,2019-12-27 20:26:20,24.5,82.1,164.60001,224.89999
248865,249146,2019-12-27 20:26:24,24.5,82.1,164.8,226.5
248866,249147,2019-12-27 20:26:28,24.5,82.1,165.3,229.8
248867,249148,2019-12-27 20:26:32,24.5,82.1,166.10001,232.0
248875,249156,2019-12-27 20:27:06,24.5,82.2,168.0,236.0
248878,249159,2019-12-27 20:27:18,24.4,82.2,171.7,235.0
248879,249160,2019-12-27 20:27:22,24.4,82.2,173.0,235.2
248880,249161,2019-12-27 20:27:27,24.5,82.3,173.10001,239.3
248882,249163,2019-12-27 20:27:35,24.4,82.3,171.60001,238.0
248884,249165,2019-12-27 20:27:43,24.4,82.2,169.3,236.0
248888,249169,2019-12-27 20:28:00,24.4,82.2,173.60001,238.8
248889,249170,2019-12-27 20:28:04,24.4,82.4,175.3,238.89999
248890,249171,2019-12-27 20:28:08,24.4,82.4,174.2,236.8
248891,249172,2019-12-27 20:28:13,24.5,82.4,174.39999,237.7
248892,249173,2019-12-27 20:28:17,24.4,82.4,175.0,238.5
248893,249174,2019-12-27 20:28:21,24.4,82.4,173.5,235.2
248896,249177,2019-12-27 20:28:33,24.4,82.4,172.0,239.0
248900,249181,2019-12-27 20:28:50,24.4,82.4,171.5,235.2
248901,249182,2019-12-27 20:28:54,24.4,82.4,171.39999,233.0
248902,249183,2019-12-27 20:28:58,24.4,82.4,171.0,232.3
248903,249184,2019-12-27 20:29:02,24.3,82.4,170.60001,227.2
248904,249185,2019-12-27 20:29:07,24.4,82.4,170.7,229.39999
248905,249186,2019-12-27 20:29:11,24.4,82.4,170.60001,232.8
248913,249194,2019-12-27 20:29:44,24.4,82.2,174.2,249.3
248915,249196,2019-12-27 20:29:52,24.4,82.3,174.60001,249.8
248916,249197,2019-12-27 20:29:57,24.4,82.3,175.89999,250.89999
248917,249198,2019-12-27 20:30:01,24.4,82.2,176.0,246.2
248919,249200,2019-12-27 20:30:09,24.4,82.2,174.8,244.10001
248920,249201,2019-12-27 20:30:13,24.4,82.2,176.10001,245.5
248921,249202,2019-12-27 20:30:17,24.4,82.2,176.5,244.89999
248922,249203,2019-12-27 20:30:22,24.4,82.2,177.0,246.3
248923,249204,2019-12-27 20:30:26,24.4,82.2,176.3,246.3
248939,249220,2019-12-27 20:31:33,24.4,82.2,178.60001,251.3
248940,249221,2019-12-27 20:31:37,24.4,82.2,180.2,251.60001
248947,249228,2019-12-27 20:32:06,24.4,82.2,179.89999,249.2
248961,249242,2019-12-27 20:33:04,24.4,82.2,179.5,247.3
248963,249244,2019-12-27 20:33:12,24.4,82.3,179.10001,249.39999
248966,249247,2019-12-27 20:33:25,24.4,82.3,179.5,252.8
248975,249256,2019-12-27 20:34:02,24.3,82.3,184.10001,251.89999
248976,249257,2019-12-27 20:34:06,24.3,82.3,183.7,250.60001
248977,249258,2019-12-27 20:34:11,24.3,82.4,181.60001,248.7
248978,249259,2019-12-27 20:34:15,24.3,82.2,181.5,248.7
