,created_at,temp,hum,p25,p10
248,2019-10-24 19:10:03,29.8,79.6,1.6,14.6
251,2019-10-24 19:11:19,30.0,79.8,10.3,69.7
252,2019-10-24 19:11:46,30.0,81.5,20.9,119.8
6211,2019-10-26 18:41:37,27.7,81.6,4.3,19.8
6409,2019-10-26 20:09:52,28.0,83.2,9.3,50.9
6410,2019-10-26 20:10:18,28.0,83.0,8.6,52.8
6413,2019-10-26 20:11:38,28.1,83.0,9.5,60.1
6414,2019-10-26 20:12:05,28.0,82.8,9.7,66.7
6416,2019-10-26 20:12:59,28.1,83.0,12.3,114.6
6417,2019-10-26 20:13:25,28.2,82.8,11.5,90.7
6418,2019-10-26 20:13:52,28.2,82.9,10.9,82.2
6419,2019-10-26 20:14:19,28.1,82.7,11.0,100.7
6420,2019-10-26 20:14:45,28.1,82.6,10.3,69.3
6422,2019-10-26 20:15:39,28.2,82.7,10.7,75.4
6423,2019-10-26 20:16:06,28.2,82.8,12.9,118.8
6424,2019-10-26 20:16:33,28.1,82.7,13.4,124.2
6425,2019-10-26 20:17:00,28.2,82.6,12.5,112.0
6428,2019-10-26 20:18:20,28.2,82.8,11.7,97.1
6429,2019-10-26 20:18:46,28.2,82.8,10.9,95.7
6430,2019-10-26 20:19:13,28.1,82.7,11.0,79.8
6431,2019-10-26 20:19:40,28.2,83.0,13.8,138.89999
6432,2019-10-26 20:20:07,28.2,82.9,12.3,94.9
6434,2019-10-26 20:21:00,28.2,82.9,9.5,58.8
6435,2019-10-26 20:21:27,28.2,83.0,11.2,78.8
6436,2019-10-26 20:21:53,28.1,82.9,13.3,108.0
6437,2019-10-26 20:22:20,28.1,83.0,155.3,1561.69995
6438,2019-10-26 20:22:47,28.2,83.0,101.2,1080.9000199999998
6439,2019-10-26 20:23:13,28.1,82.8,55.6,665.5
6440,2019-10-26 20:23:40,28.2,82.8,34.6,420.0
6441,2019-10-26 20:24:07,28.1,82.8,27.5,333.29999
6442,2019-10-26 20:24:34,28.0,82.8,23.3,252.5
6443,2019-10-26 20:25:00,28.0,82.9,20.1,231.39999
6444,2019-10-26 20:25:27,28.1,83.1,21.7,215.10001
6445,2019-10-26 20:25:54,28.1,83.1,20.8,189.3
6446,2019-10-26 20:26:21,28.0,83.2,19.7,180.2
6447,2019-10-26 20:26:47,28.0,83.2,18.2,164.8
6448,2019-10-26 20:27:14,28.0,83.2,18.6,175.2
6449,2019-10-26 20:27:41,28.0,83.4,18.2,173.7
6450,2019-10-26 20:28:08,28.1,83.2,19.0,143.2
6451,2019-10-26 20:28:34,28.1,83.2,17.3,128.8
6452,2019-10-26 20:29:01,28.1,83.2,14.1,103.8
6453,2019-10-26 20:29:28,28.1,83.1,14.8,112.2
6454,2019-10-26 20:29:54,28.1,83.0,13.2,114.8
6455,2019-10-26 20:30:21,28.1,83.0,13.8,101.2
6456,2019-10-26 20:30:48,28.1,82.9,14.9,122.7
6458,2019-10-26 20:31:41,28.0,82.8,13.4,95.3
6459,2019-10-26 20:32:08,28.1,83.2,13.6,92.5
6462,2019-10-26 20:33:28,28.0,82.3,14.3,79.3
6466,2019-10-26 20:35:15,28.0,82.2,14.7,75.3
6467,2019-10-26 20:35:42,28.0,82.2,13.6,81.6
6468,2019-10-26 20:36:08,28.0,82.2,13.5,77.5
6470,2019-10-26 20:37:02,28.0,82.3,13.5,85.8
6471,2019-10-26 20:37:29,28.0,82.4,12.3,71.4
6475,2019-10-26 20:39:15,27.9,81.9,12.9,69.9
6478,2019-10-26 20:40:35,27.9,81.5,13.1,68.0
6501,2019-10-26 20:50:50,27.7,80.4,12.9,53.7
10230,2019-10-28 00:32:38,26.7,77.6,108.3,132.39999
10231,2019-10-28 00:33:05,26.7,77.6,108.2,132.5
10245,2019-10-28 00:39:19,26.7,77.7,111.8,135.5
10256,2019-10-28 00:44:13,26.6,77.7,115.3,142.0
10257,2019-10-28 00:44:39,26.7,77.8,114.3,137.2
10261,2019-10-28 00:46:26,26.7,77.7,118.9,149.5
10264,2019-10-28 00:47:46,26.7,77.8,117.8,148.3
10267,2019-10-28 00:49:07,26.7,77.8,115.1,141.60001
10268,2019-10-28 00:49:33,26.7,77.8,115.1,137.7
10277,2019-10-28 00:53:34,26.7,77.8,120.9,150.8
10283,2019-10-28 00:56:14,26.7,77.8,117.6,143.60001
10287,2019-10-28 00:58:01,26.7,77.8,119.8,153.60001
10348,2019-10-28 01:25:11,26.7,78.0,123.0,157.5
10353,2019-10-28 01:27:24,26.6,78.0,127.2,161.39999
10356,2019-10-28 01:28:44,26.7,78.0,121.8,152.8
10379,2019-10-28 01:38:59,26.7,78.1,126.2,160.3
10415,2019-10-28 01:55:04,26.7,78.2,128.5,157.5
10435,2019-10-28 02:03:58,26.6,78.2,128.8,159.0
10436,2019-10-28 02:04:25,26.7,78.3,129.10001,158.3
10437,2019-10-28 02:04:52,26.7,78.3,128.89999,151.10001
10548,2019-10-28 02:54:18,26.6,78.3,127.4,147.0
10606,2019-10-28 03:20:07,26.6,78.5,115.8,133.3
10623,2019-10-28 03:27:42,26.6,78.6,116.2,141.2
10626,2019-10-28 03:29:02,26.6,78.7,112.8,129.39999
10629,2019-10-28 03:30:22,26.6,78.7,110.3,129.0
10631,2019-10-28 03:31:16,26.6,78.7,111.2,127.7
10635,2019-10-28 03:33:03,26.7,78.7,108.8,127.3
10636,2019-10-28 03:33:29,26.6,78.7,111.3,129.8
10637,2019-10-28 03:33:56,26.6,78.7,110.0,127.9
10639,2019-10-28 03:34:49,26.6,78.7,109.5,126.4
10640,2019-10-28 03:35:16,26.6,78.7,109.1,125.9
10641,2019-10-28 03:35:43,26.6,78.7,107.8,124.6
10643,2019-10-28 03:36:36,26.6,78.7,108.1,127.4
10644,2019-10-28 03:37:03,26.6,78.7,106.4,122.2
10646,2019-10-28 03:37:56,26.6,78.7,107.7,124.4
10653,2019-10-28 03:41:03,26.6,78.7,104.0,120.0
10655,2019-10-28 03:41:57,26.6,78.8,102.4,116.9
10669,2019-10-28 03:48:11,26.6,78.8,100.2,117.7
10683,2019-10-28 03:54:25,26.6,78.9,97.3,114.5
10684,2019-10-28 03:54:52,26.6,78.8,95.0,109.0
10687,2019-10-28 03:56:12,26.6,78.9,96.5,110.0
10688,2019-10-28 03:56:39,26.6,78.9,96.0,109.8
10714,2019-10-28 04:08:14,26.6,79.0,90.3,101.9
10720,2019-10-28 04:10:54,26.6,79.0,89.7,102.9
22907,2019-11-05 18:40:59,29.1,55.8,75.2,127.1
22925,2019-11-05 18:47:16,28.9,56.6,81.0,185.10001
22946,2019-11-05 18:54:36,28.8,56.8,81.6,137.39999
22953,2019-11-05 18:57:02,28.6,56.7,83.5,143.8
22955,2019-11-05 18:57:44,28.5,56.9,83.3,143.8
23019,2019-11-05 19:20:05,28.3,58.4,89.9,202.10001
23020,2019-11-05 19:20:26,28.2,58.4,90.1,205.60001
23021,2019-11-05 19:20:47,28.2,58.6,88.4,190.60001
23023,2019-11-05 19:21:29,28.1,59.1,85.4,148.2
23029,2019-11-05 19:23:34,27.8,59.7,88.6,196.10001
23030,2019-11-05 19:23:55,27.8,59.9,90.8,214.89999
23047,2019-11-05 19:29:51,27.4,61.3,101.6,215.8
23048,2019-11-05 19:30:12,27.3,61.0,100.2,190.0
23057,2019-11-05 19:33:20,27.6,60.7,96.3,215.10001
23058,2019-11-05 19:33:41,27.5,60.8,98.1,232.2
23059,2019-11-05 19:34:02,27.5,60.9,97.5,219.89999
23067,2019-11-05 19:36:50,27.3,60.8,95.2,228.5
23068,2019-11-05 19:37:11,27.4,61.2,95.4,219.10001
23077,2019-11-05 19:40:20,27.6,60.1,96.4,229.5
23078,2019-11-05 19:40:41,27.6,60.0,95.3,216.89999
23097,2019-11-05 19:47:18,27.7,60.3,94.6,200.5
23102,2019-11-05 19:49:04,27.9,60.4,95.6,206.0
23112,2019-11-05 19:52:33,27.9,59.9,95.0,165.60001
24334,2019-11-06 04:05:51,25.1,76.3,115.0,181.89999
24340,2019-11-06 04:08:20,24.9,77.0,122.7,192.3
24343,2019-11-06 04:09:34,24.8,77.5,121.1,196.8
24351,2019-11-06 04:12:54,24.8,77.6,115.5,186.0
24356,2019-11-06 04:15:26,24.7,78.1,121.4,193.5
24359,2019-11-06 04:16:41,24.7,78.5,124.2,198.0
24362,2019-11-06 04:17:51,24.7,78.8,115.9,183.2
24367,2019-11-06 04:19:56,24.9,77.9,121.2,196.39999
24382,2019-11-06 04:26:09,24.9,77.7,119.2,186.60001
24395,2019-11-06 04:31:29,25.1,77.3,118.3,181.10001
