created_at,temp,hum,p25,p10
NaT,26.7,70.3,59.6,73.4
NaT,26.7,70.2,59.3,80.4
NaT,26.7,70.3,57.8,73.5
NaT,26.7,71,57.5,76.3
NaT,26.7,71,58.9,73.8
NaT,26.8,71.2,55.3,71.5
NaT,26.8,71.5,59.5,84.8
NaT,26.5,72.4,71.9,106.4
NaT,27.7,62.4,57.7,87.4
NaT,27.6,62.6,56.1,69.2
NaT,27.6,62.6,58.5,72.2
NaT,27.7,62.3,59.8,84.2
NaT,27.8,59,64.1,79.3
NaT,27.8,59.2,61.4,87.8
NaT,27.9,59,54.7,78.4
NaT,27.9,59,55,78.6
NaT,28.1,55.8,49.1,77.6
NaT,28.1,55.9,52,71.7
NaT,28.2,54.6,50.7,67.2
NaT,28.1,56,47.5,57.3
NaT,28.1,56.7,48.1,57.8
NaT,28.1,56.7,48.8,63.4
NaT,28.1,56.8,49.3,67.7
NaT,28.1,57,47.1,57.6
NaT,28.3,56.5,46.7,57
NaT,28.3,55.8,46.7,56.4
NaT,28.3,55.7,47,55.1
NaT,28.3,55.8,48.5,57.3
NaT,28.1,56.2,51.6,63.7
NaT,27.6,58.7,85.4,128.8
NaT,27.6,58.8,84.4,129.2
NaT,26.9,58.3,91.3,114.9
NaT,27,60.3,97.3,115.3
NaT,27.2,60.4,96.3,115.6
NaT,27,60.2,95.4,117.4
NaT,27.2,60.6,96.4,117.3
NaT,27,60.5,94.4,113.5
NaT,27,60.6,94.4,118.1
NaT,26.4,59.4,91.1,126.5
NaT,26.5,59.4,92.9,121.4
NaT,27.6,56.8,82.1,138.39999
NaT,27.6,56.9,80.3,147
NaT,27.6,56.6,81.3,134.2
NaT,27.7,55.2,71.7,95.4
NaT,27.7,54.4,67.9,85.4
NaT,27.9,51.3,58,71.7
NaT,28,51.6,64.5,104.6
NaT,28,52.7,65.6,103.1
NaT,28,52.8,65.9,103
NaT,28.1,53.6,60.5,81.2
NaT,28.1,53.8,62.3,102.5
NaT,28.2,54.1,61.6,93.1
NaT,28.1,54,61.1,96.9
NaT,28.3,53.3,62,80.6
NaT,28.3,53.4,60.5,76.9
NaT,28.3,53.2,61,78.6
NaT,28.3,53.4,59.5,75.8
NaT,28.3,52.9,61.1,78.9
