,created_at,temp,hum,p25,p10
299,2019-10-24 16:01:07,28.4,90.2,1.1,1.1
899,2019-10-24 18:48:58,28.9,88.3,2.6,16.8
4377,2019-10-25 10:21:32,27.3,78.7,7.8,73.2
4378,2019-10-25 10:21:49,27.5,78.9,11.7,159.10001
4379,2019-10-25 10:22:05,27.3,78.8,10.8,121.2
4382,2019-10-25 10:22:54,27.5,78.9,16.7,234.60001
4383,2019-10-25 10:23:11,27.3,78.9,21.5,339.60001
4384,2019-10-25 10:23:27,27.4,79.7,21.8,341.20001
4385,2019-10-25 10:23:44,27.2,79.6,17.0,222.0
4387,2019-10-25 10:24:17,27.3,79.2,11.9,130.39999
4389,2019-10-25 10:24:50,27.4,79.1,11.7,122.9
4391,2019-10-25 10:25:22,27.5,78.8,11.8,121.0
4392,2019-10-25 10:25:39,27.4,78.7,12.5,123.7
4394,2019-10-25 10:26:12,27.5,78.7,11.9,132.89999
4395,2019-10-25 10:26:28,27.4,78.6,11.7,125.0
4397,2019-10-25 10:27:01,27.4,78.5,12.4,137.60001
4398,2019-10-25 10:27:18,27.4,78.5,12.6,144.0
4399,2019-10-25 10:27:34,27.4,78.4,12.3,118.0
4407,2019-10-25 10:29:46,27.6,78.5,9.6,92.6
4408,2019-10-25 10:30:03,27.5,78.4,9.4,84.5
4415,2019-10-25 10:31:59,27.2,77.9,11.8,113.2
4416,2019-10-25 10:32:15,27.4,78.0,11.6,108.9
4423,2019-10-25 10:34:11,27.6,78.3,10.4,95.0
4424,2019-10-25 10:34:28,27.3,78.1,10.7,96.7
4426,2019-10-25 10:35:01,27.4,78.2,10.0,94.9
4428,2019-10-25 10:35:35,27.8,78.6,11.3,94.1
4429,2019-10-25 10:35:51,27.6,78.4,10.4,93.5
4432,2019-10-25 10:36:41,27.4,78.2,11.3,94.0
4435,2019-10-25 10:37:31,27.2,78.0,10.3,87.3
4436,2019-10-25 10:37:48,27.9,78.6,10.0,81.8
4441,2019-10-25 10:39:11,28.8,79.2,10.1,69.3
4446,2019-10-25 10:40:34,27.4,78.2,9.9,84.7
4447,2019-10-25 10:40:51,27.7,78.4,9.5,80.7
4448,2019-10-25 10:41:07,28.6,79.1,8.9,64.3
4451,2019-10-25 10:41:57,27.5,78.2,9.7,79.9
4454,2019-10-25 10:42:47,27.6,78.3,9.9,67.7
4458,2019-10-25 10:43:53,28.6,79.2,9.2,66.5
4459,2019-10-25 10:44:08,27.4,78.3,9.0,65.4
4460,2019-10-25 10:44:25,28.5,79.2,8.5,58.7
4462,2019-10-25 10:44:57,27.7,78.5,8.5,58.8
4466,2019-10-25 10:46:00,28.3,79.2,9.6,69.0
4467,2019-10-25 10:46:15,27.5,78.4,9.2,64.3
8600,2019-10-26 20:22:19,29.0,88.6,12.7,113.4
8601,2019-10-26 20:22:35,29.0,88.6,19.7,245.89999
8602,2019-10-26 20:22:52,28.2,88.0,21.8,283.10001
8603,2019-10-26 20:23:08,28.2,88.1,19.0,238.5
8604,2019-10-26 20:23:24,28.8,88.5,18.6,217.8
8605,2019-10-26 20:23:40,28.3,88.1,18.5,204.60001
8606,2019-10-26 20:23:57,28.2,88.0,17.0,187.60001
8607,2019-10-26 20:24:13,29.0,88.7,16.7,178.5
8608,2019-10-26 20:24:29,28.7,88.5,16.4,166.60001
8610,2019-10-26 20:25:02,28.8,88.7,16.7,171.5
8611,2019-10-26 20:25:18,28.9,88.7,16.9,181.39999
8613,2019-10-26 20:25:51,28.9,88.7,15.7,163.89999
8615,2019-10-26 20:26:23,29.0,88.8,17.0,176.39999
8616,2019-10-26 20:26:40,29.0,88.8,16.3,171.60001
8617,2019-10-26 20:26:56,29.1,88.8,16.0,161.5
8618,2019-10-26 20:27:12,28.8,88.5,15.9,166.7
8619,2019-10-26 20:27:28,28.3,88.0,16.4,164.0
8620,2019-10-26 20:27:44,28.9,88.5,15.6,150.60001
8622,2019-10-26 20:28:15,28.9,88.4,15.4,161.89999
8624,2019-10-26 20:28:48,28.9,88.5,16.2,147.5
8625,2019-10-26 20:29:04,29.0,88.6,14.7,141.0
8626,2019-10-26 20:29:21,29.0,88.7,14.6,148.39999
8627,2019-10-26 20:29:37,28.8,88.5,14.9,137.60001
8628,2019-10-26 20:29:53,28.3,88.3,15.9,128.5
8629,2019-10-26 20:30:10,28.9,88.7,15.9,140.3
8630,2019-10-26 20:30:26,28.9,88.7,14.5,128.3
8631,2019-10-26 20:30:42,28.9,88.7,14.2,119.6
8632,2019-10-26 20:30:59,28.8,88.7,15.1,125.2
8633,2019-10-26 20:31:15,28.8,88.7,14.4,123.0
