,Unnamed: 0,created_at,temp,hum,p25,p10
2297,2301,2019-10-26 03:57:58,25.6,80.1,7.6,35.0
8798,8802,2019-10-27 19:01:57,26.9,82.1,84.7,93.0
8799,8803,2019-10-27 19:02:13,26.9,82.0,119.2,130.5
8800,8804,2019-10-27 19:02:29,26.8,82.0,106.5,116.3
8801,8805,2019-10-27 19:02:45,26.9,82.2,95.9,104.4
8802,8806,2019-10-27 19:03:01,26.8,82.2,128.60001,140.5
8803,8807,2019-10-27 19:03:17,26.8,82.1,135.0,147.8
8804,8808,2019-10-27 19:03:33,26.9,82.1,122.7,134.39999
8805,8809,2019-10-27 19:03:49,26.9,82.2,110.8,121.4
8806,8810,2019-10-27 19:04:05,26.8,82.0,97.4,106.7
8807,8811,2019-10-27 19:04:20,26.8,82.0,101.8,111.3
8808,8812,2019-10-27 19:04:36,26.9,82.1,102.7,112.2
8809,8813,2019-10-27 19:04:52,26.8,82.1,95.3,104.2
8810,8814,2019-10-27 19:05:08,26.9,82.3,83.1,90.8
8811,8815,2019-10-27 19:05:24,26.9,82.5,72.8,79.8
8962,8966,2019-10-27 19:45:32,25.7,89.6,92.2,102.5
8963,8967,2019-10-27 19:45:48,25.8,89.7,92.3,102.6
9012,9016,2019-10-27 19:58:53,25.4,90.6,127.4,142.2
9013,9017,2019-10-27 19:59:09,25.5,90.6,132.7,147.8
9014,9018,2019-10-27 19:59:25,25.4,90.5,136.8,152.2
9015,9019,2019-10-27 19:59:41,25.4,90.5,166.2,185.5
9016,9020,2019-10-27 19:59:57,25.5,90.5,205.89999,230.5
9017,9021,2019-10-27 20:00:13,25.5,90.5,236.60001,265.0
9020,9024,2019-10-27 20:01:21,25.5,90.4,172.7,192.60001
9024,9028,2019-10-27 20:02:25,25.6,90.4,195.0,218.0
9025,9029,2019-10-27 20:02:40,25.5,90.4,184.39999,206.39999
9026,9030,2019-10-27 20:02:56,25.5,90.4,172.3,192.39999
9034,9038,2019-10-27 20:05:04,25.6,90.3,176.3,196.5
9036,9040,2019-10-27 20:05:36,25.6,90.3,195.89999,217.89999
9038,9042,2019-10-27 20:06:08,25.6,90.3,179.8,200.3
9039,9043,2019-10-27 20:06:24,25.6,90.3,174.5,194.3
9040,9044,2019-10-27 20:06:40,25.6,90.3,182.10001,202.7
9041,9045,2019-10-27 20:06:56,25.6,90.3,174.3,193.89999
9043,9047,2019-10-27 20:07:27,25.6,90.3,237.39999,264.89999
9045,9049,2019-10-27 20:07:59,25.6,90.3,238.0,265.5
9047,9051,2019-10-27 20:08:31,25.6,90.4,287.79999,319.70001
9048,9052,2019-10-27 20:08:47,25.6,90.4,363.89999,404.20001
9049,9053,2019-10-27 20:09:03,25.6,90.4,414.60001,460.89999000000006
9050,9054,2019-10-27 20:09:19,25.6,90.4,371.10001,412.20001
9051,9055,2019-10-27 20:09:35,25.6,90.4,394.60001,437.70001
9052,9056,2019-10-27 20:09:51,25.6,90.4,416.60001,461.70001
9053,9057,2019-10-27 20:10:07,25.6,90.4,359.10001,397.89999
9054,9058,2019-10-27 20:10:23,25.6,90.4,320.89999,356.0
9055,9059,2019-10-27 20:10:39,25.6,90.4,329.20001,366.10001
9056,9060,2019-10-27 20:10:55,25.6,90.4,313.70001,348.39999
9057,9061,2019-10-27 20:11:11,25.6,90.4,320.5,357.10001
9058,9062,2019-10-27 20:11:27,25.6,90.4,343.20001,383.39999
9060,9064,2019-10-27 20:11:59,25.6,90.2,342.60001,381.60001
9061,9065,2019-10-27 20:12:15,25.6,90.2,341.0,380.5
9069,9073,2019-10-27 20:14:23,25.7,90.0,345.79999,383.89999
9070,9074,2019-10-27 20:14:38,25.6,90.0,355.70001,395.89999
9071,9075,2019-10-27 20:14:54,25.6,90.1,343.39999,382.10001
9072,9076,2019-10-27 20:15:10,25.6,90.1,330.89999,367.60001
9073,9077,2019-10-27 20:15:26,25.6,90.1,323.70001,359.60001
9074,9078,2019-10-27 20:15:42,25.6,90.2,327.60001,364.39999
9075,9079,2019-10-27 20:15:58,25.6,90.3,315.89999,351.79999
9076,9080,2019-10-27 20:16:14,25.5,90.3,294.29999,327.89999
9078,9082,2019-10-27 20:16:46,25.5,90.3,288.89999,321.89999
9079,9083,2019-10-27 20:17:02,25.5,90.4,288.70001,321.60001
9080,9084,2019-10-27 20:17:18,25.5,90.3,270.89999,301.5
9081,9085,2019-10-27 20:17:34,25.5,90.5,273.70001,304.89999
9082,9086,2019-10-27 20:17:50,25.5,90.5,284.89999,317.60001
9084,9088,2019-10-27 20:18:22,25.5,90.5,268.60001,299.39999
9088,9092,2019-10-27 20:19:26,25.3,90.7,320.29999,356.5
9089,9093,2019-10-27 20:19:42,25.3,90.8,309.89999,345.10001
9091,9095,2019-10-27 20:20:14,25.3,91.0,304.10001,338.79999
9094,9098,2019-10-27 20:21:02,25.2,91.0,304.70001,339.39999
9096,9100,2019-10-27 20:21:34,25.2,91.0,259.89999,290.0
9097,9101,2019-10-27 20:21:50,25.2,90.9,246.3,274.89999
9100,9104,2019-10-27 20:22:37,25.2,91.1,290.20001,324.10001
9101,9105,2019-10-27 20:22:53,25.2,91.2,292.5,326.20001
9103,9107,2019-10-27 20:23:25,25.1,91.2,282.70001,314.70001
9104,9108,2019-10-27 20:23:41,25.2,91.2,280.5,312.20001
9105,9109,2019-10-27 20:23:57,25.2,91.3,283.10001,314.89999
9110,9114,2019-10-27 20:25:17,25.0,91.5,275.5,306.39999
9111,9115,2019-10-27 20:25:33,25.0,91.5,269.10001,299.70001
9113,9117,2019-10-27 20:26:04,25.0,91.5,278.79999,310.29999
9114,9118,2019-10-27 20:26:20,25.0,91.5,268.29999,298.5
9115,9119,2019-10-27 20:26:36,24.9,91.5,262.20001,291.79999
9116,9120,2019-10-27 20:26:52,24.9,91.5,271.29999,302.20001
9117,9121,2019-10-27 20:27:08,24.9,91.6,279.39999,311.39999
9118,9122,2019-10-27 20:27:24,24.9,91.6,269.70001,300.70001
9119,9123,2019-10-27 20:27:40,24.9,91.6,257.70001,286.89999
9121,9125,2019-10-27 20:28:12,24.9,91.7,254.10001,283.0
9122,9126,2019-10-27 20:28:28,24.8,91.8,249.8,277.79999
9123,9127,2019-10-27 20:28:44,24.8,91.8,252.0,280.39999
9124,9128,2019-10-27 20:29:00,24.8,91.9,254.5,283.10001
9126,9130,2019-10-27 20:29:32,24.8,91.9,239.10001,265.89999
9127,9131,2019-10-27 20:29:48,24.9,92.0,222.3,247.60001
9141,9145,2019-10-27 20:33:31,25.0,91.7,149.3,166.5
9142,9146,2019-10-27 20:33:47,25.0,91.7,148.8,166.3
9144,9148,2019-10-27 20:34:19,25.0,91.7,159.8,178.10001
9145,9149,2019-10-27 20:34:35,25.0,91.7,163.5,182.10001
9147,9151,2019-10-27 20:35:07,25.0,91.7,150.8,168.0
9154,9158,2019-10-27 20:36:59,25.1,91.5,148.3,165.60001
9155,9159,2019-10-27 20:37:15,25.1,91.5,148.2,165.0
9158,9162,2019-10-27 20:38:02,25.2,91.4,150.10001,167.89999
9159,9163,2019-10-27 20:38:18,25.2,91.4,157.3,176.10001
9167,9171,2019-10-27 20:40:26,25.2,91.1,153.39999,171.0
9168,9172,2019-10-27 20:40:42,25.2,91.1,155.2,173.3
9174,9178,2019-10-27 20:42:18,25.2,91.0,155.5,173.3
9180,9184,2019-10-27 20:43:54,25.3,91.1,159.10001,177.8
9189,9193,2019-10-27 20:46:17,25.4,90.9,157.2,175.89999
9191,9195,2019-10-27 20:46:49,25.4,90.8,150.3,167.60001
9192,9196,2019-10-27 20:47:05,25.4,90.7,151.39999,168.60001
9198,9202,2019-10-27 20:48:41,25.5,90.6,163.10001,183.89999
9199,9203,2019-10-27 20:49:17,25.5,90.6,159.3,178.60001
9200,9204,2019-10-27 20:49:33,25.5,90.6,164.10001,185.2
9210,9214,2019-10-27 20:52:12,25.5,90.4,168.2,188.39999
9213,9217,2019-10-27 20:53:00,25.5,90.5,171.89999,192.0
9220,9224,2019-10-27 20:54:52,25.4,90.7,200.8,224.2
9223,9227,2019-10-27 20:55:40,25.3,90.8,186.89999,208.10001
9226,9230,2019-10-27 20:56:28,25.3,90.9,178.3,198.89999
9228,9232,2019-10-27 20:57:00,25.3,91.0,187.3,209.2
9233,9237,2019-10-27 20:58:19,25.2,91.0,192.7,214.60001
9237,9241,2019-10-27 20:59:42,24.9,91.0,201.10001,224.60001
9239,9243,2019-10-27 21:00:13,25.1,91.2,214.8,240.2
9240,9244,2019-10-27 21:00:29,25.0,91.2,216.89999,242.3
