,created_at,temp,hum,p25,p10
1955,2019-10-25 10:55:00,30.5,63.2,7.6,39.1
1956,2019-10-25 10:55:00,30.5,63.4,7.7,42.8
1958,2019-10-25 10:56:00,30.5,63.5,6.9,42.2
1960,2019-10-25 10:57:00,30.5,63.7,7.8,37.4
1961,2019-10-25 10:57:00,30.5,63.5,7.0,37.3
1962,2019-10-25 10:58:00,30.5,63.2,6.6,30.6
1963,2019-10-25 10:58:00,30.5,63.0,6.9,32.0
1964,2019-10-25 10:59:00,30.5,62.9,6.7,35.3
1967,2019-10-25 11:00:00,30.4,61.7,6.4,25.3
1968,2019-10-25 11:00:00,30.3,61.4,6.9,29.4
1969,2019-10-25 11:01:00,30.3,61.5,6.0,23.0
1970,2019-10-25 11:01:00,30.3,60.3,6.6,28.7
1971,2019-10-25 11:02:00,30.2,59.9,6.3,27.9
1972,2019-10-25 11:02:00,30.2,60.0,6.7,29.2
1973,2019-10-25 11:03:00,30.1,59.4,6.2,29.9
1974,2019-10-25 11:03:00,30.1,57.9,6.3,27.3
1975,2019-10-25 11:04:00,30.1,57.2,6.0,30.0
1976,2019-10-25 11:04:00,30.0,56.8,6.4,25.4
2256,2019-10-25 13:08:00,30.1,58.4,5.5,22.6
2295,2019-10-25 13:26:00,30.4,59.0,4.8,22.5
4617,2019-10-26 06:38:00,29.8,58.5,3.4,13.3
5683,2019-10-26 17:26:00,30.5,64.4,1.9,12.7
5684,2019-10-26 17:26:00,30.5,64.2,2.1,12.1
5707,2019-10-26 17:37:00,31.1,64.0,2.3,12.0
6014,2019-10-26 19:54:00,28.1,76.9,6.7,30.0
6045,2019-10-26 20:07:00,28.3,78.6,8.7,47.2
6046,2019-10-26 20:08:00,28.2,78.4,7.4,29.0
6047,2019-10-26 20:08:00,28.2,78.5,7.7,34.4
6048,2019-10-26 20:09:00,28.3,78.3,9.1,58.7
6049,2019-10-26 20:09:00,28.3,78.4,9.6,55.3
6050,2019-10-26 20:10:00,28.3,78.5,9.5,58.1
6051,2019-10-26 20:10:00,28.3,78.4,10.6,92.6
6052,2019-10-26 20:11:00,28.3,78.2,9.9,65.3
6053,2019-10-26 20:11:00,28.3,78.2,8.6,52.4
6054,2019-10-26 20:11:00,28.3,78.2,10.6,66.2
6055,2019-10-26 20:12:00,28.3,78.4,11.4,101.2
6056,2019-10-26 20:12:00,28.3,78.4,14.0,155.8
6057,2019-10-26 20:13:00,28.0,78.1,11.7,96.1
6058,2019-10-26 20:13:00,28.3,78.3,10.1,88.8
6059,2019-10-26 20:14:00,28.3,78.4,11.5,90.7
6060,2019-10-26 20:14:00,28.3,78.4,11.1,73.4
6061,2019-10-26 20:15:00,28.3,78.5,10.1,64.7
6062,2019-10-26 20:15:00,28.3,78.5,10.4,65.7
6063,2019-10-26 20:15:00,28.3,78.5,12.6,113.2
6064,2019-10-26 20:16:00,28.3,78.5,12.8,111.2
6065,2019-10-26 20:16:00,28.3,78.4,12.6,124.2
6066,2019-10-26 20:17:00,28.3,78.5,9.7,80.4
6067,2019-10-26 20:17:00,28.3,78.5,9.4,76.6
6068,2019-10-26 20:18:00,28.3,78.5,11.2,101.8
6069,2019-10-26 20:18:00,28.3,78.5,11.6,115.8
6070,2019-10-26 20:19:00,28.4,78.6,10.2,83.6
6071,2019-10-26 20:19:00,28.3,78.5,10.8,87.4
6072,2019-10-26 20:19:00,28.3,78.7,11.7,100.4
6073,2019-10-26 20:20:00,28.3,78.5,10.4,77.5
6074,2019-10-26 20:20:00,28.3,78.5,10.1,68.5
6075,2019-10-26 20:21:00,28.3,78.6,9.3,53.0
6076,2019-10-26 20:21:00,28.3,78.6,12.3,114.3
6077,2019-10-26 20:22:00,28.3,78.5,65.1,773.2000099999999
6078,2019-10-26 20:22:00,28.4,78.7,128.10001,1452.0999800000002
6079,2019-10-26 20:23:00,28.3,78.5,67.7,866.0999800000001
6080,2019-10-26 20:23:00,28.3,78.3,41.4,584.40002
6081,2019-10-26 20:23:00,28.3,78.2,27.4,392.5
6082,2019-10-26 20:24:00,28.3,78.2,21.8,269.89999
6083,2019-10-26 20:24:00,28.3,78.3,19.8,229.7
6084,2019-10-26 20:25:00,28.3,78.3,19.5,218.2
6085,2019-10-26 20:25:00,28.3,78.3,18.9,191.60001
6086,2019-10-26 20:26:00,28.3,78.4,18.7,184.2
6087,2019-10-26 20:26:00,28.3,78.4,18.3,178.0
6088,2019-10-26 20:27:00,28.3,78.5,19.2,208.3
6089,2019-10-26 20:27:00,28.3,78.5,17.0,168.7
6090,2019-10-26 20:27:00,28.3,78.5,16.7,147.5
6091,2019-10-26 20:28:00,28.3,78.5,14.1,126.4
6092,2019-10-26 20:28:00,28.3,78.5,13.7,115.9
6093,2019-10-26 20:29:00,28.3,78.5,13.7,122.0
6094,2019-10-26 20:29:00,28.3,78.5,13.2,115.7
6095,2019-10-26 20:30:00,28.3,78.5,13.7,110.1
6096,2019-10-26 20:30:00,28.3,78.3,14.2,134.2
6097,2019-10-26 20:31:00,28.3,78.3,13.3,112.1
6098,2019-10-26 20:31:00,28.3,78.4,13.2,93.7
6099,2019-10-26 20:31:00,28.3,78.5,13.4,109.6
6100,2019-10-26 20:32:00,28.3,78.5,13.0,94.6
6101,2019-10-26 20:32:00,28.3,78.0,12.0,100.3
6102,2019-10-26 20:33:00,28.3,77.8,12.5,85.5
6103,2019-10-26 20:33:00,28.3,77.8,11.8,89.7
6104,2019-10-26 20:34:00,28.3,77.8,12.1,80.0
6105,2019-10-26 20:34:00,28.3,77.8,12.2,80.4
6106,2019-10-26 20:34:00,28.2,77.7,12.5,99.7
6107,2019-10-26 20:35:00,28.3,77.7,12.6,90.9
6108,2019-10-26 20:35:00,28.3,77.6,12.1,89.1
6109,2019-10-26 20:36:00,28.3,77.6,11.7,80.8
6110,2019-10-26 20:36:00,28.2,77.6,11.6,67.1
6111,2019-10-26 20:37:00,28.2,77.6,12.2,77.6
6112,2019-10-26 20:37:00,28.2,77.6,11.5,65.2
6113,2019-10-26 20:38:00,28.2,77.5,11.2,70.1
6114,2019-10-26 20:38:00,28.2,77.6,11.1,60.0
6115,2019-10-26 20:38:00,28.2,77.5,10.6,60.8
6116,2019-10-26 20:39:00,28.2,77.3,10.7,59.7
6117,2019-10-26 20:39:00,28.2,77.1,10.7,50.3
6118,2019-10-26 20:40:00,28.1,76.8,10.9,52.0
6120,2019-10-26 20:41:00,28.1,76.6,11.0,52.5
6121,2019-10-26 20:41:00,28.1,76.5,10.2,47.6
6123,2019-10-26 20:42:00,28.1,76.2,10.5,42.4
6124,2019-10-26 20:42:00,28.1,76.1,11.0,55.5
6126,2019-10-26 20:43:00,28.1,76.2,10.3,40.1
6128,2019-10-26 20:44:00,28.1,76.1,11.6,64.8
6130,2019-10-26 20:45:00,28.1,76.2,10.1,40.2
6134,2019-10-26 20:47:00,28.0,76.2,11.1,40.3
6136,2019-10-26 20:48:00,28.0,76.1,11.3,51.3
6137,2019-10-26 20:48:00,28.0,76.1,11.3,46.6
6140,2019-10-26 20:50:00,28.0,76.7,10.8,38.1
6141,2019-10-26 20:50:00,28.0,76.7,10.4,35.7
6142,2019-10-26 20:50:00,28.0,76.7,10.4,38.7
6143,2019-10-26 20:51:00,28.0,76.7,10.9,37.3
6144,2019-10-26 20:51:00,28.0,76.6,10.8,42.8
6149,2019-10-26 20:54:00,28.0,76.6,10.5,39.5
6155,2019-10-26 20:56:00,27.9,76.2,10.0,35.3
6158,2019-10-26 20:58:00,27.9,76.4,10.1,39.6
6159,2019-10-26 20:58:00,27.9,75.8,10.4,38.6
6168,2019-10-26 21:02:00,27.9,75.9,9.5,27.6
6181,2019-10-26 21:08:00,27.8,75.8,9.7,27.0
6196,2019-10-26 21:14:00,27.8,75.4,11.0,38.2
6249,2019-10-26 21:38:00,27.7,74.9,11.5,33.7
6750,2019-10-27 01:21:00,27.0,73.2,10.4,41.6
9635,2019-10-27 22:43:00,26.9,73.2,80.9,98.3
9644,2019-10-27 22:47:00,26.9,73.2,90.1,112.8
9645,2019-10-27 22:47:00,26.8,73.1,87.6,107.4
9653,2019-10-27 22:51:00,26.9,73.2,90.5,114.5
9658,2019-10-27 22:53:00,26.9,73.2,88.8,113.1
9662,2019-10-27 22:55:00,26.8,73.2,90.1,111.5
9664,2019-10-27 22:56:00,26.8,73.2,95.3,115.4
9666,2019-10-27 22:57:00,26.9,73.3,94.7,113.1
9667,2019-10-27 22:57:00,26.8,73.2,95.9,117.8
9668,2019-10-27 22:58:00,26.9,73.3,93.8,112.8
9672,2019-10-27 22:59:00,26.8,73.3,95.6,119.5
9673,2019-10-27 23:00:00,26.8,73.2,94.6,116.6
9676,2019-10-27 23:01:00,26.9,73.3,93.5,116.8
9679,2019-10-27 23:02:00,26.9,73.3,91.1,107.0
9683,2019-10-27 23:04:00,26.8,73.2,93.3,114.8
9685,2019-10-27 23:05:00,26.9,73.4,89.4,107.5
9687,2019-10-27 23:06:00,26.9,73.3,92.1,109.8
9690,2019-10-27 23:07:00,26.8,73.3,93.1,115.4
9694,2019-10-27 23:09:00,26.9,73.3,90.0,109.9
9697,2019-10-27 23:10:00,26.8,73.2,88.2,107.0
9702,2019-10-27 23:13:00,26.8,73.2,88.0,105.2
9704,2019-10-27 23:14:00,26.8,73.2,92.4,111.8
9705,2019-10-27 23:14:00,26.9,73.3,89.9,110.2
9706,2019-10-27 23:14:00,26.8,73.2,89.4,107.9
9709,2019-10-27 23:16:00,26.8,73.2,90.4,110.4
9711,2019-10-27 23:17:00,26.9,73.3,92.1,114.5
9717,2019-10-27 23:19:00,26.8,73.2,87.7,108.2
9718,2019-10-27 23:20:00,26.8,73.2,93.6,110.3
9720,2019-10-27 23:21:00,26.8,73.2,92.2,114.9
9723,2019-10-27 23:22:00,26.8,73.3,93.4,114.8
9724,2019-10-27 23:22:00,26.8,73.3,92.4,111.5
9726,2019-10-27 23:23:00,26.8,73.3,87.9,107.7
9737,2019-10-27 23:28:00,26.9,73.4,89.6,109.5
9747,2019-10-27 23:33:00,26.9,73.3,92.7,114.5
9757,2019-10-27 23:37:00,26.8,73.4,88.5,103.2
9767,2019-10-27 23:42:00,26.8,73.4,95.1,114.2
9774,2019-10-27 23:45:00,26.8,73.4,93.6,116.9
9778,2019-10-27 23:46:00,26.8,73.4,94.6,111.0
9780,2019-10-27 23:47:00,26.9,73.5,94.3,111.5
9781,2019-10-27 23:48:00,26.8,73.5,96.9,116.0
9783,2019-10-27 23:49:00,26.8,73.4,95.0,113.7
9784,2019-10-27 23:49:00,26.8,73.5,92.9,108.9
9791,2019-10-27 23:52:00,26.8,73.5,93.1,111.7
9793,2019-10-27 23:53:00,26.8,73.5,96.9,116.1
9795,2019-10-27 23:54:00,26.8,73.5,97.2,121.3
9796,2019-10-27 23:54:00,26.8,73.5,95.3,115.2
9798,2019-10-27 23:55:00,26.8,73.5,95.9,120.0
9803,2019-10-27 23:58:00,26.8,73.4,95.9,118.0
9805,2019-10-27 23:58:00,26.9,73.5,98.1,120.7
9806,2019-10-27 23:59:00,26.8,73.5,97.2,120.3
9809,2019-10-28 00:00:00,26.8,73.4,101.3,125.5
9810,2019-10-28 00:01:00,26.8,73.5,100.3,124.6
9811,2019-10-28 00:01:00,26.8,73.5,101.6,126.9
9812,2019-10-28 00:02:00,26.8,73.5,102.5,122.2
9816,2019-10-28 00:03:00,26.8,73.6,98.9,122.7
9817,2019-10-28 00:04:00,26.9,73.7,98.5,121.0
9818,2019-10-28 00:04:00,26.8,73.5,98.7,117.5
9819,2019-10-28 00:05:00,26.8,73.6,98.0,116.1
9820,2019-10-28 00:05:00,26.8,73.6,99.2,121.8
9827,2019-10-28 00:08:00,26.8,73.6,97.1,122.8
9829,2019-10-28 00:09:00,26.8,73.6,103.2,128.7
9836,2019-10-28 00:12:00,26.8,73.5,100.5,124.6
9837,2019-10-28 00:13:00,26.8,73.5,99.2,123.8
9839,2019-10-28 00:14:00,26.8,73.6,98.9,120.1
9842,2019-10-28 00:15:00,26.8,73.6,95.6,114.7
9843,2019-10-28 00:15:00,26.8,73.6,97.0,120.1
9850,2019-10-28 00:18:00,26.8,73.6,102.6,127.1
9851,2019-10-28 00:19:00,26.8,73.6,100.8,119.1
9853,2019-10-28 00:20:00,26.8,73.6,103.9,125.7
9854,2019-10-28 00:20:00,26.8,73.6,104.2,130.0
9855,2019-10-28 00:21:00,26.8,73.7,105.8,128.7
9856,2019-10-28 00:21:00,26.8,73.7,103.2,127.6
9858,2019-10-28 00:22:00,26.8,73.7,104.2,123.7
9860,2019-10-28 00:23:00,26.8,73.7,101.5,126.0
9862,2019-10-28 00:24:00,26.8,73.7,98.7,122.2
9863,2019-10-28 00:24:00,26.8,73.7,105.2,133.39999
9864,2019-10-28 00:25:00,26.8,73.7,105.8,131.10001
9865,2019-10-28 00:25:00,26.8,73.7,103.5,127.7
9866,2019-10-28 00:26:00,26.8,73.7,103.1,125.2
9867,2019-10-28 00:26:00,26.8,73.7,102.6,127.9
9868,2019-10-28 00:26:00,26.9,73.8,102.2,122.9
9869,2019-10-28 00:27:00,26.8,73.8,104.6,128.7
9870,2019-10-28 00:27:00,26.8,73.7,105.0,130.2
9871,2019-10-28 00:28:00,26.8,73.7,100.8,125.5
9872,2019-10-28 00:28:00,26.8,73.7,103.4,130.10001
9875,2019-10-28 00:30:00,26.8,73.8,104.5,125.5
9876,2019-10-28 00:30:00,26.8,73.7,106.5,127.9
9877,2019-10-28 00:30:00,26.8,73.7,106.2,130.0
9878,2019-10-28 00:31:00,26.8,73.8,107.5,132.39999
9879,2019-10-28 00:31:00,26.8,73.8,102.9,120.4
9880,2019-10-28 00:32:00,26.8,73.8,103.7,119.7
9881,2019-10-28 00:32:00,26.8,73.8,103.4,124.1
9882,2019-10-28 00:33:00,26.8,73.8,104.8,129.7
9883,2019-10-28 00:33:00,26.8,73.8,106.6,128.8
9884,2019-10-28 00:34:00,26.8,73.8,104.4,126.8
9885,2019-10-28 00:34:00,26.8,73.8,104.9,128.60001
9886,2019-10-28 00:34:00,26.8,73.8,106.4,129.8
9887,2019-10-28 00:35:00,26.8,73.8,105.1,124.4
9888,2019-10-28 00:35:00,26.8,73.8,106.2,128.39999
9889,2019-10-28 00:36:00,26.8,73.8,103.4,123.3
9890,2019-10-28 00:36:00,26.8,73.8,107.2,132.3
9891,2019-10-28 00:37:00,26.9,73.9,107.3,129.8
9892,2019-10-28 00:37:00,26.8,73.8,110.9,134.89999
9893,2019-10-28 00:38:00,26.8,73.8,109.0,132.10001
9894,2019-10-28 00:38:00,26.8,73.8,107.8,131.89999
9896,2019-10-28 00:39:00,26.8,73.8,110.1,131.7
9898,2019-10-28 00:40:00,26.8,73.8,107.9,132.89999
9899,2019-10-28 00:40:00,26.8,73.9,110.4,132.2
9901,2019-10-28 00:41:00,26.8,73.9,108.0,129.60001
9902,2019-10-28 00:42:00,26.8,73.8,110.6,135.60001
9903,2019-10-28 00:42:00,26.8,73.8,112.7,137.7
9904,2019-10-28 00:42:00,26.8,73.9,108.9,132.89999
9905,2019-10-28 00:43:00,26.8,73.9,107.6,130.5
9906,2019-10-28 00:43:00,26.8,73.9,111.4,138.89999
9907,2019-10-28 00:44:00,26.8,73.9,111.4,137.5
9908,2019-10-28 00:44:00,26.8,73.9,111.4,135.0
9911,2019-10-28 00:46:00,26.8,73.8,112.5,135.39999
9912,2019-10-28 00:46:00,26.8,73.8,112.6,136.39999
9914,2019-10-28 00:47:00,26.8,74.0,108.4,132.10001
9915,2019-10-28 00:47:00,26.8,73.9,110.4,133.10001
9919,2019-10-28 00:49:00,26.8,73.9,113.4,139.0
9922,2019-10-28 00:50:00,26.8,73.9,113.4,140.3
9923,2019-10-28 00:51:00,26.8,74.0,115.2,142.8
9924,2019-10-28 00:51:00,26.8,73.9,113.9,136.2
9926,2019-10-28 00:52:00,26.8,73.9,114.0,138.60001
9929,2019-10-28 00:54:00,26.8,73.9,113.7,137.8
9930,2019-10-28 00:54:00,26.8,73.9,112.5,137.89999
9931,2019-10-28 00:54:00,26.8,73.9,115.8,145.10001
9932,2019-10-28 00:55:00,26.8,73.9,110.5,132.89999
9933,2019-10-28 00:55:00,26.8,74.0,114.6,138.60001
9934,2019-10-28 00:56:00,26.8,74.0,111.5,136.8
9935,2019-10-28 00:56:00,26.8,74.0,111.1,138.3
9936,2019-10-28 00:57:00,26.8,74.0,113.8,137.39999
9937,2019-10-28 00:57:00,26.9,74.1,115.6,143.7
9938,2019-10-28 00:58:00,26.8,73.9,116.6,144.60001
9939,2019-10-28 00:58:00,26.8,74.0,114.4,139.39999
9940,2019-10-28 00:58:00,26.8,74.0,114.9,139.10001
9942,2019-10-28 00:59:00,26.8,74.0,120.1,156.8
9944,2019-10-28 01:00:00,26.8,74.0,117.2,143.2
9945,2019-10-28 01:01:00,26.8,74.1,121.8,150.2
9949,2019-10-28 01:02:00,26.8,74.1,120.5,147.60001
9951,2019-10-28 01:03:00,26.8,74.1,117.2,143.7
9952,2019-10-28 01:04:00,26.8,74.1,116.2,139.89999
9955,2019-10-28 01:05:00,26.8,74.1,117.1,141.10001
9966,2019-10-28 01:10:00,26.8,74.1,124.6,150.8
9967,2019-10-28 01:10:00,26.8,74.1,124.3,150.0
9972,2019-10-28 01:13:00,26.8,74.1,119.2,151.60001
9973,2019-10-28 01:13:00,26.8,74.1,121.3,151.10001
9975,2019-10-28 01:14:00,26.8,74.1,122.9,142.7
9977,2019-10-28 01:15:00,26.8,74.0,122.6,144.60001
9980,2019-10-28 01:16:00,26.8,74.1,124.5,153.0
9981,2019-10-28 01:17:00,26.8,74.1,124.2,155.2
9985,2019-10-28 01:18:00,26.8,74.1,124.3,151.89999
9987,2019-10-28 01:19:00,26.8,74.1,125.4,155.8
9997,2019-10-28 01:24:00,26.8,74.1,124.0,151.10001
10007,2019-10-28 01:28:00,26.8,74.1,122.6,152.8
10012,2019-10-28 01:30:00,26.8,74.1,123.2,154.7
10017,2019-10-28 01:33:00,26.8,74.2,121.9,152.3
10024,2019-10-28 01:36:00,26.8,74.1,122.3,155.3
10031,2019-10-28 01:39:00,26.8,74.2,123.5,153.60001
10033,2019-10-28 01:40:00,26.8,74.3,123.8,152.39999
10037,2019-10-28 01:42:00,26.8,74.2,119.8,140.3
10041,2019-10-28 01:43:00,26.8,74.2,123.9,146.89999
10056,2019-10-28 01:50:00,26.8,74.2,120.2,149.39999
10057,2019-10-28 01:50:00,26.8,74.4,122.8,144.10001
10059,2019-10-28 01:51:00,26.8,74.3,121.5,141.7
10066,2019-10-28 01:54:00,26.8,74.4,125.5,153.2
10068,2019-10-28 01:55:00,26.7,74.3,125.6,151.5
10071,2019-10-28 01:57:00,26.8,74.3,124.8,155.10001
10076,2019-10-28 01:59:00,26.8,74.3,124.7,151.5
10078,2019-10-28 02:00:00,26.7,74.3,125.6,152.3
10080,2019-10-28 02:01:00,26.8,74.4,123.0,141.0
10081,2019-10-28 02:01:00,26.8,74.3,122.6,144.89999
10085,2019-10-28 02:03:00,26.8,74.4,124.5,152.5
10088,2019-10-28 02:04:00,26.8,74.4,125.4,149.60001
10090,2019-10-28 02:05:00,26.8,74.4,121.7,146.2
10091,2019-10-28 02:06:00,26.8,74.4,123.0,152.7
10092,2019-10-28 02:06:00,26.8,74.4,124.6,149.8
10102,2019-10-28 02:10:00,26.8,74.4,120.8,151.8
10109,2019-10-28 02:14:00,26.8,74.4,117.4,139.5
10112,2019-10-28 02:15:00,26.8,74.4,118.6,145.89999
10120,2019-10-28 02:18:00,26.8,74.4,115.9,136.89999
10127,2019-10-28 02:22:00,26.8,74.4,117.3,135.89999
10129,2019-10-28 02:22:00,26.8,74.4,118.9,146.39999
10133,2019-10-28 02:24:00,26.8,74.6,121.8,143.89999
10153,2019-10-28 02:33:00,26.8,74.6,117.8,136.5
10154,2019-10-28 02:34:00,26.7,74.5,116.6,136.10001
10155,2019-10-28 02:34:00,26.8,74.5,116.5,134.2
10156,2019-10-28 02:34:00,26.8,74.6,118.4,138.3
10162,2019-10-28 02:37:00,26.7,74.5,117.6,140.89999
10168,2019-10-28 02:40:00,26.7,74.5,119.6,139.8
10171,2019-10-28 02:41:00,26.8,74.6,116.0,136.8
10187,2019-10-28 02:48:00,26.8,74.7,120.7,140.39999
10191,2019-10-28 02:50:00,26.8,74.6,116.7,137.7
10193,2019-10-28 02:51:00,26.8,74.6,121.6,142.0
10194,2019-10-28 02:51:00,26.8,74.6,119.7,138.60001
10201,2019-10-28 02:54:00,26.8,74.5,119.2,138.0
10217,2019-10-28 03:02:00,26.8,74.6,119.5,140.3
10218,2019-10-28 03:02:00,26.8,74.6,121.6,140.3
10219,2019-10-28 03:02:00,26.7,74.5,119.4,137.89999
10221,2019-10-28 03:03:00,26.8,74.6,116.4,134.89999
10223,2019-10-28 03:04:00,26.7,74.5,115.0,132.8
10225,2019-10-28 03:05:00,26.7,74.6,118.3,136.2
10231,2019-10-28 03:08:00,26.8,74.7,117.5,135.0
10232,2019-10-28 03:08:00,26.7,74.6,115.8,132.0
10235,2019-10-28 03:10:00,26.7,74.6,117.3,135.89999
10236,2019-10-28 03:10:00,26.8,74.7,118.7,139.10001
10237,2019-10-28 03:10:00,26.7,74.7,116.7,135.2
10238,2019-10-28 03:11:00,26.7,74.6,118.6,136.5
10239,2019-10-28 03:11:00,26.8,74.7,115.3,134.10001
10241,2019-10-28 03:12:00,26.8,74.7,112.9,131.8
10242,2019-10-28 03:13:00,26.8,74.7,115.0,130.0
10244,2019-10-28 03:14:00,26.8,74.7,113.9,132.10001
10245,2019-10-28 03:14:00,26.8,74.7,116.4,136.5
10247,2019-10-28 03:15:00,26.8,74.7,113.6,135.60001
10248,2019-10-28 03:15:00,26.7,74.6,114.1,132.10001
10249,2019-10-28 03:16:00,26.8,74.7,115.2,132.10001
10250,2019-10-28 03:16:00,26.7,74.6,114.5,136.39999
10251,2019-10-28 03:17:00,26.7,74.7,113.0,130.2
10252,2019-10-28 03:17:00,26.7,74.7,115.1,135.3
10253,2019-10-28 03:18:00,26.8,74.7,114.6,136.2
10254,2019-10-28 03:18:00,26.7,74.6,111.7,129.10001
10255,2019-10-28 03:18:00,26.8,74.7,116.2,133.7
10256,2019-10-28 03:19:00,26.8,74.7,112.4,130.39999
10257,2019-10-28 03:19:00,26.8,74.7,112.3,130.7
10258,2019-10-28 03:20:00,26.8,74.7,111.0,129.0
10259,2019-10-28 03:20:00,26.8,74.7,111.0,128.8
