,created_at,temp,hum,p25,p10
1104,2019-10-25 04:37:00,29.7,62.4,7.7,23.2
1109,2019-10-25 04:39:00,29.7,62.5,7.3,23.7
1120,2019-10-25 04:44:00,29.6,62.5,7.3,25.7
1127,2019-10-25 04:47:00,29.7,62.6,7.0,23.1
1131,2019-10-25 04:49:00,29.6,62.5,7.5,24.1
1183,2019-10-25 05:12:00,29.6,63.0,6.8,22.6
1184,2019-10-25 05:12:00,29.6,63.0,6.6,22.5
1188,2019-10-25 05:14:00,29.6,63.0,6.2,23.4
1193,2019-10-25 05:16:00,29.6,63.0,6.1,21.3
1235,2019-10-25 05:35:00,29.6,63.3,5.9,20.9
1880,2019-10-25 10:21:00,28.7,64.4,5.3,22.9
1882,2019-10-25 10:22:00,28.8,64.3,4.9,25.2
1883,2019-10-25 10:23:00,28.9,64.5,6.8,47.5
1884,2019-10-25 10:23:00,29.0,64.4,5.9,39.5
1885,2019-10-25 10:24:00,29.0,64.1,11.6,75.7
1886,2019-10-25 10:24:00,29.1,64.0,8.5,58.0
1887,2019-10-25 10:24:00,29.1,64.2,11.1,123.2
1888,2019-10-25 10:25:00,29.2,64.2,12.2,107.6
1889,2019-10-25 10:25:00,29.2,64.0,12.6,113.4
1890,2019-10-25 10:26:00,29.3,63.8,11.2,103.9
1891,2019-10-25 10:26:00,29.3,63.8,11.9,119.4
1892,2019-10-25 10:27:00,29.3,63.2,12.5,116.6
1893,2019-10-25 10:27:00,29.3,62.9,10.8,88.2
1894,2019-10-25 10:28:00,29.4,63.2,11.1,97.4
1895,2019-10-25 10:28:00,29.4,63.5,12.0,110.6
1896,2019-10-25 10:28:00,29.4,63.3,11.2,113.5
1897,2019-10-25 10:29:00,29.5,63.2,12.6,125.3
1898,2019-10-25 10:29:00,29.6,63.1,14.8,161.39999
1899,2019-10-25 10:30:00,29.6,63.0,21.9,291.89999
1900,2019-10-25 10:30:00,29.6,62.8,24.5,321.60001
1901,2019-10-25 10:31:00,29.7,62.7,19.7,248.89999
1902,2019-10-25 10:31:00,29.7,62.5,14.5,158.10001
1903,2019-10-25 10:32:00,29.8,62.4,14.0,144.3
1904,2019-10-25 10:32:00,29.8,62.2,13.1,128.2
1905,2019-10-25 10:32:00,29.9,62.1,12.4,117.4
1906,2019-10-25 10:33:00,29.9,62.0,12.0,121.0
1907,2019-10-25 10:33:00,29.9,61.8,12.1,108.3
1908,2019-10-25 10:34:00,29.9,61.7,12.6,122.9
1909,2019-10-25 10:34:00,30.0,61.7,12.0,106.5
1910,2019-10-25 10:35:00,30.0,61.7,12.7,121.0
1911,2019-10-25 10:35:00,30.0,61.7,11.7,112.1
1912,2019-10-25 10:36:00,30.1,61.7,11.5,107.1
1913,2019-10-25 10:36:00,30.1,61.7,11.1,91.4
1914,2019-10-25 10:36:00,30.1,61.7,10.6,88.1
1915,2019-10-25 10:37:00,30.1,61.7,10.1,89.0
1916,2019-10-25 10:37:00,30.2,61.7,10.9,86.7
1917,2019-10-25 10:38:00,30.1,61.6,11.1,86.1
1918,2019-10-25 10:38:00,30.2,61.7,10.8,83.2
1919,2019-10-25 10:39:00,30.2,61.6,10.6,89.1
1920,2019-10-25 10:39:00,30.2,61.6,10.1,84.1
1921,2019-10-25 10:40:00,30.2,61.6,11.1,98.5
1922,2019-10-25 10:40:00,30.3,61.5,10.0,89.5
1923,2019-10-25 10:40:00,30.3,61.5,10.2,65.7
1924,2019-10-25 10:41:00,30.3,61.5,9.6,74.4
1925,2019-10-25 10:41:00,30.3,61.5,10.0,71.3
1926,2019-10-25 10:42:00,30.3,61.5,9.6,77.1
1927,2019-10-25 10:42:00,30.3,61.5,9.3,67.7
1928,2019-10-25 10:43:00,30.4,61.6,9.4,65.0
1929,2019-10-25 10:43:00,30.4,61.6,9.4,68.5
1930,2019-10-25 10:44:00,30.4,61.6,10.5,71.8
1931,2019-10-25 10:44:00,30.4,61.7,9.5,70.8
1932,2019-10-25 10:44:00,30.4,61.8,8.9,68.4
1933,2019-10-25 10:45:00,30.3,61.9,9.5,67.8
1934,2019-10-25 10:45:00,30.3,62.1,8.8,55.2
1935,2019-10-25 10:46:00,30.3,62.2,9.1,60.0
1936,2019-10-25 10:46:00,30.4,62.4,8.9,57.9
1937,2019-10-25 10:47:00,30.4,62.4,8.4,53.1
1938,2019-10-25 10:47:00,30.4,62.5,8.3,50.8
1939,2019-10-25 10:48:00,30.3,62.6,8.7,59.5
1940,2019-10-25 10:48:00,30.4,62.6,9.4,59.5
1941,2019-10-25 10:48:00,30.3,62.4,7.7,45.1
1943,2019-10-25 10:49:00,30.4,62.6,7.9,51.5
1944,2019-10-25 10:50:00,30.4,62.7,8.2,46.8
1945,2019-10-25 10:50:00,30.4,62.6,8.7,58.7
1946,2019-10-25 10:51:00,30.4,62.6,7.9,53.0
1947,2019-10-25 10:51:00,30.4,62.6,8.6,56.0
1948,2019-10-25 10:52:00,30.5,62.6,8.2,56.0
1949,2019-10-25 10:52:00,30.5,62.6,8.4,50.5
1950,2019-10-25 10:52:00,30.5,62.6,8.8,63.1
1951,2019-10-25 10:53:00,30.5,62.7,7.9,49.3
1952,2019-10-25 10:53:00,30.5,62.6,7.6,39.8
1953,2019-10-25 10:54:00,30.5,62.7,8.2,54.2
1954,2019-10-25 10:54:00,30.5,62.9,7.9,46.4
